player,team,DARI,DARI_full,DARI_full_shrunk,DARI_top150,consistency,shrinkage_factor,blend_weight,deterrence_contribution_full,accuracy_contribution_full,foul_contribution_full,deterrence_contribution_top150,accuracy_contribution_top150,foul_contribution_top150,D_adj_full,A_adj_full,D_adj_top150,A_adj_top150,opp_adj_factor_full,rim_opp_factor_full,total_rim_att_full,total_rim_att_top150,weight,2P Dist
"Ajogbor, Justice",Saint Joseph's,9.6759,10.8481,8.0657,10.2236,-0.6245,0.2586,0.7462,5.5581,4.62,0.67,5.7469,3.8066,0.67,10.0327,0.0773,9.5243,0.0595,1.1985,1.036,460.9994,344.0,1.0,10.8
"Mara, Aday",Michigan,9.2475,9.4477,7.0064,9.4519,0.0042,0.2609,0.9164,5.5619,3.5758,0.31,7.0188,2.1231,0.31,10.0396,0.0775,11.6321,0.0456,1.3129,0.8964,371.0,339.9995,1.0,8.5
"Ejiofor, Zuby",St. John's (NY),8.3285,7.3935,6.1944,8.5904,1.197,0.1642,0.8907,3.4493,3.3791,0.565,6.1989,1.8266,0.565,6.2262,0.0471,10.2732,0.0259,1.296,1.1689,685.9993,610.9997,1.0,10.0
"Krivas, Motiejus",Arizona,7.9124,10.2698,7.6024,7.972,-2.2977,0.262,0.8387,5.7369,4.4178,0.115,5.366,2.4911,0.115,10.3554,0.0942,8.8929,0.0527,1.3068,0.915,402.9999,337.9993,1.0,8.5
"Sherman, Frankquon",Kennesaw St.,7.6969,8.9245,5.7597,10.0485,1.124,0.3582,0.4517,4.5319,4.4826,-0.09,8.8888,1.2497,-0.09,8.1804,0.0694,14.7312,0.0185,1.15,1.1547,476.0,214.9998,1.0,13.0
"Chatman, Evan",UAB,7.2106,5.8796,4.1597,9.3269,3.4473,0.297,0.5904,5.079,-0.0294,0.83,9.3865,-0.8896,0.83,9.1678,-0.0005,15.556,-0.0138,1.1564,1.098,481.0004,283.9998,1.0,9.7
"Rock, JT",New Mexico,7.067,7.4262,3.9736,7.9378,0.5116,0.4706,0.7803,4.0207,3.4006,0.005,5.6417,2.2911,0.005,7.2575,0.0778,9.3498,0.0485,1.2128,0.8586,172.9997,134.9998,0.4943,9.2
"Wague, Mohamed",Oklahoma,6.8503,6.8766,5.0381,7.1476,0.271,0.2709,0.859,6.7306,0.666,-0.52,7.4916,0.176,-0.52,12.1492,0.0122,12.4157,0.0031,1.2399,1.0413,375.9994,322.9995,1.0,10.1
"Christmas, Chrishawn",SFA,6.5256,6.556,4.2257,9.9052,3.3492,0.3604,0.4049,1.1014,4.5345,0.92,2.5112,6.474,0.92,1.9882,0.0676,4.1617,0.0927,1.1519,1.0524,525.9997,212.9998,1.0,10.1
"Van Komen, Matt",Marshall,6.0834,6.7545,3.1024,9.6966,2.9421,0.5479,0.4521,3.076,3.4485,0.23,2.9663,6.5003,0.23,5.5524,0.061,4.916,0.1024,1.1241,0.9667,219.0003,99.0001,0.6257,8.1
"Mighty, Armani",Mercer,6.0366,9.211,4.9353,8.968,-0.243,0.4687,0.2731,4.8877,3.3434,0.98,6.0337,1.9543,0.98,8.8225,0.0542,9.9995,0.0283,1.0737,1.0927,497.9997,136.0001,1.0,8.1
"Thomas II, Avery",Louisiana Tech,5.9982,7.3127,4.1607,7.9424,0.6297,0.4364,0.4859,5.7489,1.7288,-0.165,5.8662,2.2413,-0.165,10.3771,0.0331,9.7219,0.0409,1.1276,1.0517,318.9997,155.0002,0.9114,10.2
"Williams, Devin",Fla. Atlantic,5.9599,8.2412,6.0625,5.9103,-2.3309,0.2673,0.6742,2.5076,5.1036,0.63,-0.4712,5.7515,0.63,4.5263,0.0681,-0.7809,0.0695,1.1858,1.1745,487.9996,328.9996,1.0,7.4
"Sherrell, Aiden",Alabama,5.9191,6.7077,5.3361,5.9508,-0.7569,0.2073,0.9483,2.3285,3.8543,0.525,3.5252,1.9006,0.525,4.203,0.0577,5.8423,0.0285,1.2979,0.9873,483.9993,459.0006,1.0,12.6
"Nwabude, Godslove",Eastern Mich.,5.8981,5.8728,3.4118,8.2002,2.3274,0.4255,0.5192,3.9786,3.1543,-1.26,7.7015,1.7587,-1.26,7.1815,0.0463,12.7635,0.025,1.138,1.1013,311.9997,162.0,0.8914,9.7
"Veesaar, Henri",North Carolina,5.7845,6.4468,5.0598,5.9143,-0.5325,0.2182,0.8481,3.787,2.1148,0.545,5.4159,-0.0465,0.545,6.8358,0.0345,8.9756,-0.0007,1.2708,1.0092,507.0006,430.0003,1.0,9.1
