player,team,def_adj_opp,def_fc,on_poss_full,on_rim_fg_full,on_rim_freq_full,on_rim_att_allow_per100_full,off_poss_full,off_rim_fg_full,off_rim_freq_full,rim_fg_diff_full,rim_freq_diff_full,rim_blk_rate_full,rim_protection_score_full,on_poss_top150,on_rim_fg_top150,on_rim_freq_top150,on_rim_att_allow_per100_top150,off_poss_top150,off_rim_fg_top150,off_rim_freq_top150,rim_fg_diff_top150,rim_freq_diff_top150,rim_blk_rate_top150,rim_protection_score_top150
"Boozer, Cameron",Duke,102.5655,2.17,2093,0.5492,0.3111,27.6636,431,0.5,0.3516,-0.0492,0.0405,0.0397,0.45,1620,0.5737,0.3029,27.2222,262,0.4773,0.3793,-0.0964,0.0764,0.0405,0.01
"Lendeborg, Yaxel",Michigan,101.5554,2.29,2082,0.5167,0.2826,25.9366,732,0.5514,0.2873,0.0347,0.0047,0.0871,3.32,1899,0.5188,0.2874,26.5929,623,0.5786,0.2896,0.0598,0.0022,0.0856,4.19
"Veesaar, Henri",North Carolina,103.8454,3.34,1654,0.5325,0.3312,30.653,608,0.5587,0.3845,0.0261,0.0533,0.073,4.64,1373,0.5488,0.3388,31.3183,464,0.578,0.4071,0.0292,0.0682,0.0722,5.34
"Cluff, Oscar",Purdue,102.2539,4.9,1530,0.6307,0.273,24.2484,976,0.6406,0.2929,0.0099,0.0199,0.0971,3.13,1360,0.6299,0.278,24.6324,807,0.6121,0.3014,-0.0177,0.0234,0.0953,2.13
"Bidunga, Flory",Kansas,100.527,3.15,1846,0.5136,0.3203,29.8483,535,0.5904,0.3313,0.0767,0.011,0.1634,6.78,1689,0.5206,0.3234,30.1362,424,0.626,0.3235,0.1053,0.0001,0.1623,7.46
"Johnson Jr., Morez",Michigan,101.561,3.71,1749,0.5411,0.2989,27.1584,1065,0.496,0.2588,-0.0451,-0.0401,0.0923,-1.56,1587,0.5446,0.3024,27.5362,935,0.511,0.2636,-0.0336,-0.0388,0.0909,-1.08
"Kaufman-Renn, Trey",Purdue,101.7421,3.47,1635,0.6091,0.2852,25.5046,871,0.6857,0.2724,0.0766,-0.0129,0.0192,2.93,1522,0.5969,0.2872,25.7556,645,0.6879,0.2855,0.091,-0.0017,0.0191,3.95
"Krivas, Motiejus",Arizona,102.0984,4.2,1718,0.4715,0.2554,23.4575,1057,0.5714,0.342,0.1,0.0867,0.1761,10.99,1431,0.4882,0.2534,23.6198,759,0.5802,0.3297,0.092,0.0763,0.176,10.25
"Chinyelu, Rueben",Florida,103.8884,4.75,1518,0.5032,0.3601,31.0277,976,0.5354,0.3911,0.0322,0.031,0.0764,4.06,1296,0.524,0.3698,32.0988,774,0.5489,0.4067,0.0248,0.037,0.0754,3.98
"Kohler, Jaxon",Michigan St.,103.609,2.43,1583,0.5682,0.2952,25.458,744,0.5879,0.3184,0.0197,0.0232,0.0571,2.86,1364,0.5798,0.3013,26.173,608,0.5963,0.3132,0.0164,0.012,0.056,2.26
